FromY,ToY,MeanY,ClassName,ClassValue,DEL,DES,Ellenallas10,Ellenallas40,Gamma,Laterolog,Magneses,Neutron,Nyiro,Primer,Tavolsag,TermPot
475.44,475.53,-475.485,agyagkő,6,2.72998,2.70999,24.5200005,91.7100983,23.1700001,158.6499939,-2.86919,37.7799988,2632.439941,4612.939941,-475.5,-427
476,476.1,-476.05,agyagkő,6,2.6200099,2.6600001,24.3700008,91.8499985,22.1000004,156.8000031,-2.8705399,40.2200012,2611.820068,4516.02002,-476,-426.9989929
476.1,476.3,-476.2,agyagkő,6,2.5700099,2.6900001,24.4899998,92.0699997,22.3199997,156.5500031,-2.8698699,37.5999985,2664,4728.370117,-476.2,-427
476.3,476.35,-476.325,agyagkő,6,2.6299801,2.6400199,24.5499992,91.9300003,20.9799995,155.8999939,-2.86391,36.3899994,2710.030029,4743.359863,-476.3,-427
476.35,476.44,-476.395,aleurolit,7,2.6000099,2.6500001,24.5799999,91.6901016,22.0300007,155.6699982,-2.8708501,34.9500008,2710.030029,4700.680176,-476.4,-428
476.44,476.64,-476.54,agyagkő,6,2.6499801,2.56003,24.5499992,91.3600998,20.8299999,154.9400024,-2.8701701,35.5900002,2746.310059,4683.279785,-476.5,-429
476.64,476.66,-476.65,aleurolit,7,2.6200099,2.6299801,24.4699993,90.9600983,22.4500008,154.3300018,-2.8664501,35.0299988,2792.320068,4656.970215,-476.6,-431.9989929
476.66,476.67,-476.665,agyagkő,6,2.6499901,2.6400001,24.3500004,90.3702011,23.1399994,154.1699982,-2.87256,35.5600014,2855.100098,4575.240234,-476.7,-433
476.67,476.68,-476.675,aleurolit,7,2.6499901,2.6400001,24.3500004,90.3702011,23.1399994,154.1699982,-2.87256,35.5600014,2855.100098,4575.240234,-476.7,-433
476.68,476.74,-476.71,agyagkő,6,2.6499901,2.6400001,24.3500004,90.3702011,23.1399994,154.1699982,-2.87256,35.5600014,2855.100098,4575.240234,-476.7,-433
476.74,476.8,-476.77,aleurolit,7,2.6000199,2.6500001,24.2299995,89.7101974,25.0699997,153.8899994,-2.87146,38.6699982,2852.050049,4457.959961,-476.8,-430.0010071
476.8,477.71,-477.255,agyagkő,6,2.6100099,2.6599901,23.8600006,89.8398972,25.9699993,154.6600037,-2.8785801,39.9300003,2606.709961,4327.02002,-477.3,-426
477.71,477.74,-477.725,aleurolit,7,2.6099999,2.77,24.2600002,91.7898026,22.5100002,155.2700043,-2.8763499,41.6899986,2596.560059,4400,-477.7,-425
477.74,477.79,-477.765,agyagkő,6,2.6299901,2.7000201,24.3999996,92.4797974,21.2399998,155.5599976,-2.86658,40,2658.689941,4463.910156,-477.8,-426.9989929
477.79,477.96,-477.875,agyagkő,6,2.68998,2.71999,24.5400009,93.1697998,20.9300003,155.3000031,-2.8706,39.8400002,2701.790039,4531,-477.9,-428
477.96,477.97,-477.965,aleurolit,7,2.7,2.6700201,24.6900005,93.9797974,20.7900009,154.7899933,-2.8733001,38.0299988,2707.280029,4589.009766,-478,-429
477.97,478.04,-478.005,agyagkő,6,2.7,2.6700201,24.6900005,93.9797974,20.7900009,154.7899933,-2.8733001,38.0299988,2707.280029,4589.009766,-478,-429
478.04,478.05,-478.045,aleurolit,7,2.7,2.6700201,24.6900005,93.9797974,20.7900009,154.7899933,-2.8733001,38.0299988,2707.280029,4589.009766,-478,-429
478.05,478.19,-478.12,agyagkő,6,2.6600101,2.6500101,24.8500004,94.5298004,21.9799995,155,-2.87238,38.1199989,2718.310059,4622.879883,-478.1,-429
478.19,478.23,-478.21,aleurolit,7,2.68999,2.6600001,25.0599003,94.8299026,21.0400009,155.8399963,-2.8722,38.2700005,2718.310059,4659.439941,-478.2,-430
478.23,478.32,-478.275,agyagkő,6,2.71999,2.6200099,25.2399006,94.9000015,21.75,155.7299957,-2.8682201,38.5800018,2777.780029,4721.080078,-478.3,-431.9989929
478.32,478.34,-478.33,aleurolit,7,2.71999,2.6200099,25.2399006,94.9000015,21.75,155.7299957,-2.8682201,38.5800018,2777.780029,4721.080078,-478.3,-431.9989929
478.34,479.06,-478.7,agyagkő,6,2.6800101,2.67998,25.1700001,95.759903,23.1599998,156.8000031,-2.8789201,39.6699982,2780.669922,4474.029785,-478.7,-431.0010071
479.06,479.08,-479.07,aleurolit,7,2.6300199,2.6099999,25.3799992,96.7698975,22.6900005,158.7100067,-2.88411,38.6800003,2653.399902,4537.089844,-479.1,-429
479.08,479.7,-479.39,agyagkő,6,2.6300001,2.6199999,25.4200001,97.4300003,24.9699993,159.0500031,-2.8698001,37.5999985,2650.76001,4464.669922,-479.4,-427
479.7,479.75,-479.725,aleurolit,7,2.70998,2.69999,25.4099998,96.9401016,23.8999996,158.7200012,-2.8733001,37.6699982,2704.530029,4512.540039,-479.7,-429
